case,surface_pressure,p,T,density,up_flux,down_flux
1,101300.0,2026.0,294.47013697380953,0.023968487618534807,316.26358493945526,928.3078704274876
1,101300.0,4052.0,159.1093900002401,0.08871888493915225,315.9751937398293,929.3137481578599
1,101300.0,6078.0,249.0351716000975,0.08502418096290587,317.0777974909246,929.4058252162662
1,101300.0,8104.0,293.5608147909137,0.09617092577034858,317.59723851286685,930.5600741257296
1,101300.0,10130.0,341.6844335569268,0.10328249020026097,316.78237077462427,933.5012294708051
1,101300.0,12156.0,199.52833347185214,0.21224064901280867,312.6157350636629,940.1649314798537
1,101300.0,14182.0,167.98748902571987,0.29410539505731087,314.87310268200804,940.7819986118097
1,101300.0,16208.0,191.45677435582937,0.2949179042980196,318.0726379842844,940.9405149552525
1,101300.0,18234.0,242.54298342161027,0.2619001118591225,321.33992059187847,941.5364949632245
1,101300.0,20260.0,262.48861147396815,0.26888800212899777,323.2038856476788,944.0106586841895
1,101300.0,22286.0,269.2692462286105,0.2883286644885546,324.05794643860133,947.8984108842006
1,101300.0,24312.0,169.74414755653407,0.49896298166516534,324.47263101295414,952.5661578773037
1,101300.0,26338.0,251.35235510530623,0.36504153612829243,330.10439163689557,952.4745248206782
1,101300.0,28364.0,210.15077595719185,0.4701959971316892,332.3977284623236,956.2280601059992
1,101300.0,30390.0,286.68980742960446,0.36928434404585875,337.71935811079135,957.4394891458644
1,101300.0,32416.0,344.2247995636442,0.3280648618475864,336.6447681167332,965.3911109104407
1,101300.0,34442.0,215.77103286076616,0.5560805060560203,324.1735177752399,984.3353516150506
1,101300.0,36468.0,295.22721517205116,0.4303264145329281,329.8951376524152,984.8899104712838
1,101300.0,38494.0,156.01808486303443,0.859529027851745,326.7724342659684,994.457247054159
1,101300.0,40520.0,304.80131375408905,0.46312161487462195,336.18745136041355,991.8022557484028
1,101300.0,42546.0,317.92697305996364,0.46620165331436003,331.0494906923565,1003.894815401276
1,101300.0,44572.0,242.7939895144321,0.6395384194493833,322.15048296161626,1018.9578745985481
1,101300.0,46598.0,328.8645527115546,0.4936199015657898,326.65446386493875,1020.2954671608584
1,101300.0,48624.0,182.9545481043963,0.9258698060535925,313.3433334597317,1038.8384250170352
1,101300.0,50650.0,257.27431745787584,0.6858441897567785,323.1720194475945,1033.911927174869
1,101300.0,52676.0,245.310624896552,0.748064213327881,326.1698786192352,1036.4705642969282
1,101300.0,54702.0,285.70873888449546,0.6669943110957343,331.4085392870191,1037.1393950811353
1,101300.0,56728.0,325.55616344652253,0.6070353735779994,329.26397626993366,1045.185498921106
1,101300.0,58754.0,216.38158995506075,0.9459312650996534,314.47022711496265,1064.4786875035484
1,101300.0,60780.0,246.15754700688683,0.8601812844544886,323.44970972292975,1059.3774557934435
1,101300.0,62806.0,193.54444597798238,1.1304799664441187,329.1474815562762,1058.4362912232066
1,101300.0,64832.0,324.1351963920794,0.6967960441837383,342.3412535772497,1051.1760510629258
1,101300.0,66858.0,317.66316545171117,0.7332109976540889,327.1001196141177,1071.8606168148747
1,101300.0,68884.0,332.475187647191,0.7217745540324009,312.78536244741053,1088.9141116797002
1,101300.0,70910.0,261.4742465084718,0.9447589482391768,289.9887218732896,1111.1777821926066
1,101300.0,72936.0,254.4362771693781,0.9986317233603985,290.13151686109063,1108.5501968495664
1,101300.0,74962.0,259.0754428551285,1.007992648431656,291.99019550260755,1104.4721349812844
1,101300.0,76988.0,165.61251466738253,1.619467865444187,292.9498399227273,1101.6238036812783
1,101300.0,79014.0,235.88579465503176,1.1669297418009794,307.97626254084366,1086.236882007746
1,101300.0,81040.0,305.4655298523633,0.924229170537999,316.0287795853811,1079.9521871680229
1,101300.0,83066.0,297.51129335821736,0.9726627646603666,303.1712162125457,1093.9137886482647
1,101300.0,85092.0,213.39846661375185,1.389120388967533,292.0778041666082,1103.589022192916
1,101300.0,87118.0,287.944753932337,1.0540013687867777,303.2045812501887,1091.0784028083597
1,101300.0,89144.0,224.19983285594682,1.385157895328479,295.60682306887884,1097.6849093831897
1,101300.0,91170.0,232.15939380866703,1.3680694424348037,305.74321344072587,1086.820667935513
1,101300.0,93196.0,221.08845947872925,1.468498975665196,315.66707724635086,1078.3002016046576
1,101300.0,95222.0,327.08321283614566,1.0141950644045292,329.38481408778875,1068.3634753793476
1,101300.0,97248.0,201.27334725900718,1.6832044011476495,303.15688174249726,1096.5241704664031
1,101300.0,99274.0,235.93083657977272,1.465862592553599,319.4328878643114,1080.7579449751827
1,101300.0,101300.0,276.40529616626833,1.2767490221749123,331.15310872346953,1072.6535711631082
2,101300.0,2026.0,342.49866324045774,0.020607390888208506,279.95941238208434,1254.6075386093212
2,101300.0,4052.0,263.5409820146488,0.05356285597882978,278.3158206027529,1256.9403117375418
2,101300.0,6078.0,165.85447012307515,0.12766620930109673,278.5197228347802,1257.8665069067754
2,101300.0,8104.0,179.38517996661483,0.15738209440486797,280.6943934107556,1257.2768219946786
2,101300.0,10130.0,267.4042527385345,0.1319725426915004,283.35339679688815,1256.6800336123438
2,101300.0,12156.0,164.6303115545075,0.25723102017266725,283.66569564915494,1258.8810039351051
2,101300.0,14182.0,211.2025437048899,0.2339272338198223,287.8280536189864,1257.694200238921
2,101300.0,16208.0,348.82435689839383,0.16186951839812883,291.4654664113496,1257.547518455987
2,101300.0,18234.0,261.1635963964016,0.24322698632296919,281.13999981479463,1271.557687461938
2,101300.0,20260.0,162.40195349887264,0.4346009195101214,282.21130879226405,1274.2282476327293
2,101300.0,22286.0,327.0300468737072,0.23740339120251347,288.9847406066473,1271.6329414179047
